Type	Gene	Text
knowledge	ATM	AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,ATAXIA TELANGIECTASIA
knowledge	FXN	AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA,FRIEDREICH ATAXIA
knowledge	SACS	CHARLEVOIX-SAGUENAY SPASTIC ATAXIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
knowledge	FMR1	FRAGILE X-ASSOCIATED TREMOR/ATAXIA SYNDROME,HEREDITARY ATAXIA,X-LINKED HEREDITARY ATAXIA
knowledge	AFG3L2	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	ATN1	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	ATXN7	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	BEAN1	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	CACNA1G	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	CCDC88C	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	DAGLA	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	EEF2	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	ELOVL4	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	ELOVL5	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	FAT2	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	GRM1	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	ITPR1	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	KCNC3	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	KCND3	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	MME	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	PLD3	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	PPP2R2B	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	PRKCG	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	PUM1	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	SCYL1	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	SNX14	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	TBP	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	TDP2	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
knowledge	TGM6	HEREDITARY ATAXIA,AUTOSOMAL DOMINANT CEREBELLAR ATAXIA
